audiourl,overall_evaluation(level: 1/2/3),CINDERELLA,DANCED,SO,JOYFULLY,THAT,SHE,FORGOT,THE,TIME.
https://mtutor.blob.core.windows.net/system-user-audio/20190824/69f3d84e18454103999a72c77e813b4b.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191213/d6b2aeb839264441b4115989d1a6339f.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191119/6aef5c3004a944519e2756c797f285fe.mp3,无效,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191002/6c72a30c00fb49db8de81fc018977104.mp3,3,2,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190824/69f3d84e18454103999a72c77e813b4b.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191213/d6b2aeb839264441b4115989d1a6339f.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191119/6aef5c3004a944519e2756c797f285fe.mp3,无效,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191002/6c72a30c00fb49db8de81fc018977104.mp3,3,2,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190805/707ab3d08c1e40ce847baa8d344e5e7a.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/4f19c2ae99894a5a8cd12415762d5a5d.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190820/3dd723f3ff1049a380280dd76d4161a3.mp3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190805/707ab3d08c1e40ce847baa8d344e5e7a.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190318/4f19c2ae99894a5a8cd12415762d5a5d.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190820/3dd723f3ff1049a380280dd76d4161a3.mp3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190314/8807b566e8014a7aa8d6b743c58ab723.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190117/56a7d1a9832e4d66bc2562fa4e973091.mp3,2,3,2,1,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190314/8807b566e8014a7aa8d6b743c58ab723.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190117/56a7d1a9832e4d66bc2562fa4e973091.mp3,2,3,2,1,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191224/c4d51d1f01da4d53b7fb12a52285cae8.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191015/f59e8f37fea04e5d95748a07923d0cc9.mp3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191015/f6fe099ca43d4f6c864154bb744d74f6.mp3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190523/a6bbf4cb3d1a4a4cb8a0e468ee2293da.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190116/f953720dcbe845998d3cccb3e96be93b.mp3,2,1,2,1,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190410/bb0f31e83cdd4f03bbb07ed48b949245.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191224/c4d51d1f01da4d53b7fb12a52285cae8.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191015/f59e8f37fea04e5d95748a07923d0cc9.mp3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191015/f6fe099ca43d4f6c864154bb744d74f6.mp3,3,3,3,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190523/a6bbf4cb3d1a4a4cb8a0e468ee2293da.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190116/f953720dcbe845998d3cccb3e96be93b.mp3,2,1,2,1,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190410/bb0f31e83cdd4f03bbb07ed48b949245.mp3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/f797c38227514e39a6f5f5c4d2d733dc.mp3,2,2,2,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191020/fd60180f9d3744cda5c9b9c73b274183.mp3,1,2,1,3,3,2,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190116/f1502377d21a4455913f1562f98260ab.mp3,3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191205/f797c38227514e39a6f5f5c4d2d733dc.mp3,2,2,2,2,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191020/fd60180f9d3744cda5c9b9c73b274183.mp3,1,2,1,3,3,2,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190116/f1502377d21a4455913f1562f98260ab.mp3,3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190319/9cc5165484fe4dd09970f0c35943c097.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190319/9cc5165484fe4dd09970f0c35943c097.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190404/af18184141644c20afdacb13cbcb7b84.mp3,2,2,2,2,2,2,1,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190819/08afb6254bc4425bbe5b191ae76ed0e7.mp3,3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190404/af18184141644c20afdacb13cbcb7b84.mp3,2,2,2,2,2,2,1,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190819/08afb6254bc4425bbe5b191ae76ed0e7.mp3,3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190218/8e2cf179eef440829f3d8806c1fbbf51.mp3,2,/,2,2,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190102/695c93a1cbfb47299fdc20a87dc8b57e.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190102/a8b98debff7c4cc19f814b69863b3aa0.mp3,1,1,2,1,1,1,1,2,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190102/4e1938a8366a4b809d3b9dfb0d7f5f1e.mp3,无效,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190613/c456d3a17117478489fe77eedda2e7cc.mp3,1,2,1,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/3c89b94b688449d1890d81da0390905a.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190205/528d38fd54ed480ebb9ecff0dabd49fa.mp3,2,1,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190218/8e2cf179eef440829f3d8806c1fbbf51.mp3,2,/,2,2,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190102/695c93a1cbfb47299fdc20a87dc8b57e.mp3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190102/a8b98debff7c4cc19f814b69863b3aa0.mp3,1,1,2,1,1,1,1,2,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190102/4e1938a8366a4b809d3b9dfb0d7f5f1e.mp3,无效,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190613/c456d3a17117478489fe77eedda2e7cc.mp3,1,2,1,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/3c89b94b688449d1890d81da0390905a.mp3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190205/528d38fd54ed480ebb9ecff0dabd49fa.mp3,2,1,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190609/4b09f5c0841248a4a51336e535e8c297.mp3,3,3,3,2,3,3,2,3,3,/
