audiourl,overall_evaluation(level: 1/2/3),THE,FOLLOWING,"WEEK,",THE,SAME,POLICEMAN,SEES,THE,SAME,MAN,WITH,THE,TIGER,AGAIN.
https://mtutor.blob.core.windows.net/system-user-audio/20190514/bf4e834aea604b5c9bb7ae8b1b45d795.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190514/d28e338cb36543fda6875de178a0f8ee.mp3,2,3,2,2,2,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190219/381fd446ac7f429ea08a21374fe3bfdd.mp3,3,/,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190220/aa60ada6758b4e669cd0c36d6800d833.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190219/eac1f08167554aa0b5b043e0fe028b49.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190824/063e8597f1f44e2492e5ec11ebc91f56.mp3,2,2,3,3,3,2,3,3,3,3,3,3,2,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190430/6cc0371cf5094043a29713105a3a7df0.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190430/4049257a7ee94f86a4af93e23b3c91c6.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191026/5b2e50f4261c4dad8b16f1af3951ad8f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191230/6d54c031961b44b9ae7ee6aca6f67501.mp3,1,2,3,/,/,/,/,/,/,/,/,/,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20190417/ed605446ddc842b7a4d234abb7246042.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191008/9cf5013904c44303903c886334e0640f.mp3,2,3,3,2,2,3,2,3,2,3,3,2,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190723/58cd4168b1914c25830475a11fc4e8f0.mp3,2,3,1,3,3,3,3,2,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190425/02417a1bded140f5ad8d6d427c440651.mp3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191008/9cf5013904c44303903c886334e0640f.mp3,2,3,3,2,2,3,2,3,2,3,3,2,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190723/58cd4168b1914c25830475a11fc4e8f0.mp3,2,3,1,3,3,3,3,2,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190425/02417a1bded140f5ad8d6d427c440651.mp3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190312/d744da69cfa84e20a03ce1c64fcc461b.mp3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191202/be29d167063d4a4890e801822a9a44b5.mp3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191122/43bbdc74cfd44bbeb57ab60274073c91.mp3,2,3,3,2,3,3,2,3,1,3,2,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191121/6d304867330b49f9ae1735d9f1b9e7ec.mp3,2,3,2,3,3,3,2,2,3,2,3,2,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190219/b393350a4e5b45158f1693e41bcef95c.mp3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190219/54244807ff7b488a9bb2c872dd7ef96c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191117/2f28faa354c54e1d9deb8524a1ae543c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20190221/81ddbd3b0f1c4d999e2154d2b362a689.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190702/1e1ea3f639a347889375b2d81bf90eee.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190702/1c84e1f0e3df499aaac8c50e96c5dcfc.mp3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190702/f6b86f838b234615af3dbfbacc91b367.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190730/3bd6a7e6d49746d0b8500727f99d35d1.mp3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190312/d744da69cfa84e20a03ce1c64fcc461b.mp3,2,3,3,2,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191202/be29d167063d4a4890e801822a9a44b5.mp3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191122/43bbdc74cfd44bbeb57ab60274073c91.mp3,2,3,3,2,3,3,2,3,1,3,2,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191121/6d304867330b49f9ae1735d9f1b9e7ec.mp3,2,3,2,3,3,3,2,2,3,2,3,2,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190219/b393350a4e5b45158f1693e41bcef95c.mp3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190219/54244807ff7b488a9bb2c872dd7ef96c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191117/2f28faa354c54e1d9deb8524a1ae543c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20190221/81ddbd3b0f1c4d999e2154d2b362a689.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190702/1e1ea3f639a347889375b2d81bf90eee.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190702/1c84e1f0e3df499aaac8c50e96c5dcfc.mp3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190702/f6b86f838b234615af3dbfbacc91b367.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190730/3bd6a7e6d49746d0b8500727f99d35d1.mp3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
