audiourl,overall_evaluation(level: 1/2/3),ONE,DAY,A,CROW,STOOD,ON,A,BRANCH,NEAR,HIS,NEST,AND,FELT,VERY,HAPPY,WITH,THE,MEAT,IN,HIS,MOUTH.
https://mtutor.blob.core.windows.net/system-user-audio/20190324/3d8f51eb5e8044bcb06a59ae75f67b4d.mp3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190323/9c40e03474d24d478bbd9b83fd13eb7e.mp3,无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190323/463e7dde988843c78aac8b1330a1dc13.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181020/9e3de3fda2fa4b5c85632b2e96d2bdf1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180915/fb22a13e16464dda9996dd3fd3145eb1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180724/f4ea7b1d82284b71a9d18ab169c356cc.mp3,无效,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190910/41d66b5067074eaba8f0792dc1379e77.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191201/794a358e581c4e80bbba5eba4be17e8f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181031/1ca5243501724e8eafa54ad0b344dd6f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181030/3fc6344c8d634be48669432e5f1f0313.mp3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
