audiourl,overall_evaluation(level: 1/2/3),ONE,"AFTERNOON,",HE,THOUGHT,UP,A,GOOD,PLAN,TO,HAVE,FUN.
https://mtutor.blob.core.windows.net/system-user-audio/20191012/6ab8433605ff4684bf061b08216ab411.mp3,3,1,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190326/58c86191274c4f60ab68fe23c9a0a1e1.mp3,2,3,3,2,1,3,1,1,2,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191012/6ab8433605ff4684bf061b08216ab411.mp3,3,1,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190326/58c86191274c4f60ab68fe23c9a0a1e1.mp3,2,3,3,2,1,3,1,1,2,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191022/0dd86c2e26b04789a41f82bce7d3a337.mp3,2,3,2,2,3,2,3,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191022/981c08f3ec7d462f96e93dad1a89b827.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191008/d2a2ccbeed8c410ea17834d64e126838.mp3,2,1,2,3,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191022/0dd86c2e26b04789a41f82bce7d3a337.mp3,2,3,2,2,3,2,3,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191022/981c08f3ec7d462f96e93dad1a89b827.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191008/d2a2ccbeed8c410ea17834d64e126838.mp3,2,1,2,3,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190514/78123c4ece734a1ea88a0a974d37225a.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190626/a9a291c5225446749c939a94a28dc287.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190514/78123c4ece734a1ea88a0a974d37225a.mp3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190626/a9a291c5225446749c939a94a28dc287.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190328/84adf7fd83f14fa68a6a88707f712216.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190328/84adf7fd83f14fa68a6a88707f712216.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/2d97112ca0f749c49c10769c03bd2a68.mp3,3,2,2,3,3,3,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190108/e233e8da3baa4d3d8f7de7acb68a984d.mp3,3,3,2,3,3,2,2,3,3,3,3,/
