audiourl,overall_evaluation(level: 1/2/3),PLENTY,OF,COMPLICATED,THOUGHTS,ABOUT,THE,RAINBOW,HAVE,BEEN,FORMED.,
https://mtutor.blob.core.windows.net/system-user-audio/20190409/0657c6c2650d494db1ff494938fe315d.mp3,1,3,3,1,1,3,2,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190316/fafa40d87bb64550ae9888287e6ebeb2.mp3,3,3,3,3,3,3,3,2,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20191219/3f60582ef09c4faaa93f2fa4c86e3d75.mp3,1,3,1,1,3,3,3,3,2,1,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190726/2143553d206e4e7c8a31e5aa68ff7484.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190726/2143553d206e4e7c8a31e5aa68ff7484.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190319/995e016a881244d6996326eefa87d48e.mp3,1,3,1,2,1,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190627/d43cfa1ea5d7491bab102f85b6751e8c.mp3,3,3,2,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190319/995e016a881244d6996326eefa87d48e.mp3,1,3,1,2,1,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190627/d43cfa1ea5d7491bab102f85b6751e8c.mp3,3,3,2,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190716/62aca301d12c48d291ad0ee21ea016af.mp3,1,3,1,2,1,2,2,3,2,2,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190708/c156534b43c945c1994e755bbbf2efc7.mp3,2,1,2,3,3,3,3,3,3,2,/, 
https://mtutor.blob.core.windows.net/system-user-audio/20191222/fbdb2086a39c49c0bd54cd625e0d5214.mp3,3,3,3,3,3,3,3,3,3,3,/,
https://mtutor.blob.core.windows.net/system-user-audio/20190716/62aca301d12c48d291ad0ee21ea016af.mp3,1,3,1,2,1,2,2,3,2,2,/,
