audiourl,overall_evaluation(level: 1/2/3),HIS,MOTHER,NOTICED,HIS,LEFT,SHOE,WAS,ON,HIS,RIGHT,FOOT.
https://mtutor.blob.core.windows.net/system-user-audio/20190408/5d9845002b97422b9a9472df1bf07eee.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190816/59ad7ae9369949a2a1ef75c52bc815dd.mp3,3,3,3,3,3,3,/,/,/,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20191008/f04644fcd22141b592f0c0db151aa4f5.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191008/fdee7a4b1a2b48e1b78cf1cc270d53ec.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/a9825a804bf242ddbb1fdcb7905fd0b0.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/fb595f5a29ca4968af8f4dfc1e2c6195.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190408/5d9845002b97422b9a9472df1bf07eee.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190816/59ad7ae9369949a2a1ef75c52bc815dd.mp3,3,3,3,3,3,3,/,/,/,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20191008/f04644fcd22141b592f0c0db151aa4f5.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191008/fdee7a4b1a2b48e1b78cf1cc270d53ec.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/a9825a804bf242ddbb1fdcb7905fd0b0.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/fb595f5a29ca4968af8f4dfc1e2c6195.mp3,无效,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190327/019da55c680a40f5b24356e80987cfeb.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190327/95d545394b5f40f5a50e29eb943dc7d2.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190908/7167c735746440059554567ab0befb4c.mp3,3,3,3,2,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190117/5ab53d36ba4d46c9bb03b09e20e6c87c.mp3,1,3,3,2,1,1,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190704/39a97b5d7ca645c18c3c9066327c8ff0.mp3,2,3,3,1,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190302/bf09965ecefe47e39816a9f5ad20116d.mp3,2,3,3,2,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191019/4a1e78ecfd6248db9297477fb554e53e.mp3,1,2,2,1,1,2,1,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191022/0bf72c02be804626ab687cc0dd85f890.mp3,2,3,3,1,1,1,2,3,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191106/d18e290e5f8d49cea6d9e8e53f19b874.mp3,1,3,1,1,2,2,2,3,1,1,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190301/183ca278302145fa803b18d01b1e916e.mp3,2,3,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190327/019da55c680a40f5b24356e80987cfeb.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190327/95d545394b5f40f5a50e29eb943dc7d2.mp3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190908/7167c735746440059554567ab0befb4c.mp3,3,3,3,2,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190117/5ab53d36ba4d46c9bb03b09e20e6c87c.mp3,1,3,3,2,1,1,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190704/39a97b5d7ca645c18c3c9066327c8ff0.mp3,2,3,3,1,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190302/bf09965ecefe47e39816a9f5ad20116d.mp3,2,3,3,2,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191019/4a1e78ecfd6248db9297477fb554e53e.mp3,1,2,2,1,1,2,1,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191022/0bf72c02be804626ab687cc0dd85f890.mp3,2,3,3,1,1,1,2,3,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191106/d18e290e5f8d49cea6d9e8e53f19b874.mp3,1,3,1,1,2,2,2,3,1,1,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190301/183ca278302145fa803b18d01b1e916e.mp3,2,3,2,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190911/7c8862768ad447f9bfef96b657a5b333.mp3,2,3,3,2,3,3,2,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191129/2395dfee119a4363b174cb3f2df111b2.mp3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190905/e7b693fa66d848d5a39979477cf4415f.mp3,3,3,3,3,3,3,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190727/c7a6722a15914150abe2f90565e793eb.mp3,2,3,2,2,2,2,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190729/f670508077b2468c8524c1f0d5d546a9.mp3,2,3,3,1,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190216/25058c8217a64843b6efff56dcb854e0.mp3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191021/2c8db48af9124c33bd520224e52072e9.mp3,2,3,3,3,1,3,2,3,3,3,3,/
