audiourl,overall_evaluation(level: 1/2/3),"NOW,",CAN,YOU,GIVE,ME,A,FEW,WORDS,TO,DESCRIBE,THE,BODY,SHAPE,OF,THIS,GIRL?
https://mtutor.blob.core.windows.net/system-user-audio/20190111/c64bb4f7a30448c39407b2510dc45494.mp3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190109/01fbcbc5ecdb41ce8fc85b661411adac.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190109/c6828866f05f4beab9ad88395aab9952.mp3,2,3,3,3,3,3,1,3,3,3,3,3,1,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190306/fd42d39ba7734a57887749702a41bacd.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180608/54897ddd2c494d5f9cff42e147b63426.mp3,音频无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180922/1e285c22a13c46f5915caf34738705fc.mp3,2,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190710/b5dbb9ecb5f240499ff0ad4147eb7e77.mp3,2,3,3,3,3,3,3,1,2,1,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190816/2fccd0ba3b874adead343e863968a958.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190304/44def6cc75c54490945fd0e817c4520b.mp3,2,3,3,3,3,1,3,3,3,3,3,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190304/a0bd5e6bc5ef42b6a0d28d1541d47b9b.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190304/795aa76fb5bb4e6691044a3e0806bfe1.mp3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190304/21403571b36f42a2989654bf5292d93e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190919/09eba3cdccdc455bb035d83803cd5b9c.mp3,2,3,3,3,3,3,2,3,3,1,2,3,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180827/ede53a67f4ac445aa7fd64ee8ba1da91.mp3,1,2,2,2,2,2,3,3,1,1,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180827/1a8769124bb54cb9a7e520040ec4d2ef.mp3,2,3,3,3,3,3,3,2,3,2,2,2,1,2,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181001/4010b8bb7ca94144acc7dee4f34d470e.mp3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181001/d6f9255a1425490a9cb0497c9ef5d4dd.mp3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181001/1068a090ef14486eb4220961a8f11815.mp3,无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181001/2f0b1536cdac4eb2af30f1a2ac18bcf9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181001/f909da6e8837473a979ff4c7bfb4b9eb.mp3,2,3,3,3,3,3,3,3,2,2,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/d60c363906c9404690f0937c53616404.mp3,2,3,3,3,3,3,2,2,3,1,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190812/30731f113f7249f491ee0cfe133a7afc.mp3,3,3,3,3,3,3,3,3,3,2,1,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191007/c2cc48b7925548a18501664b28ddee10.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191007/696f89772b444bd5b5442670a6938fb9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191007/ff72cd0b5b7946c1a3a097626adfba3e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191007/e1160f7a3d4d46a9bbdc0228a1fc0652.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180913/88a8bdf5a4904393a01b8e5d32331d86.mp3,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180912/bcd10b73d7d047c3b8bf6c52c3fe7dff.mp3,1,2,2,2,2,1,2,2,2,1,2,1,2,2,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190606/98132f9a84a74c0a8ff7aeec2f8d4d58.mp3,2,3,3,3,3,3,3,3,1,2,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/08c65f315bad4d1882eaf28afa0a471a.mp3,2,3,3,3,3,1,3,3,3,2,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/2275b2fae75f479e940ce60672541b55.mp3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/91af56ae8ef74a6d82f7ed3c5bdc6a20.mp3,3,3,3,3,3,3,3,3,3,1,/,/,/,/,/,/,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/49a8530c32b945798e8fb689d378376b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/e168c6e875164126ac61f3c126459495.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/24fec2e572334c68a2c90fbaed59e735.mp3,无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/0c394c1fb76045359b57a01351fbf059.mp3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/1bea4717b3304d2ab49154f5fc53ec43.mp3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190529/449c18552c7a4f109e85fa1d9545859d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190612/86345033d3ba4680a781a7acbda3a2a0.mp3,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190612/97ca472324da453eac908d7019357478.mp3,3,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180722/d0658bf93f8f4b50b57c5ba96d226196.mp3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180722/9492d49bb09748ce84c9517f52948235.mp3,无效,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190904/0da2c335e4e54cd28f7076f28d237a42.mp3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190904/7bfd6803967b4b2a8806643ad78f8405.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190802/669a984564364ac991f0d2068fbc7b1a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190802/43f837eb0141428ba414853c0bd1cc04.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181025/de3ae9e9a65f4f44819000ee4db4ee27.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
