audiourl,overall_evaluation(level: 1/2/3),THE,MAN,"REPLIED,","""I",DID.,WE,HAD,SUCH,A,GOOD,TIME.,WE,ARE,GOING,TO,THE,BEACH,THIS,"WEEKEND!"""
https://mtutor.blob.core.windows.net/system-user-audio/20181218/0e13581aab2d401997e02b06871635e4.mp3,3,3,3,3,3,3,3,2,3,1,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190103/825bc9da2600429aabc714a86ffb8421.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191008/5c45b193e2314b26a68ab1628b4bb5b7.mp3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191123/a647bab373204cad88022ee930f3f1cb.mp3,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,2,1,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191217/628accf6548042b0949851cb2c0e4b8e.mp3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20191128/64808ff3bca643c8926e21b370e1b442.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191128/cb334478df894a69a1d74d95aa2c47a3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191021/0458197f51b04247850393aa836984ac.mp3,2,3,3,3,3,3,1,3,3,3,3,3,3,3,3,1,1,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20190128/f66594fa7809474fadbd117870f1d945.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191114/4e7733a800eb4ab58b78aa2436830b10.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191114/8361eab4901c4a94a8f6d82543b403d3.mp3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180821/af7ab2c6eb184b38b4647f490869d5f2.mp3,2,3,2,2,3,2,2,2,3,3,3,2,3,3,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20180822/46bf33d6773e4577962c1c82c921a915.mp3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200110/94f7d664355b4dd9b823c2a9214277dd.mp3,无效,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191115/df664751722f414085d73ed5448376e3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180815/f58c3bbdde4841efb4f20a82e3c7cbe9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191027/f3bed57b23e54dde8fbdab1f28fe6173.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191202/b8eb57c815e742b29bd09e87b9f048d9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
