audiourl,overall_evaluation(level: 1/2/3),THE,FROGS,IN,THE,POND,WERE,VERY,AFRAID,OF,THE,CHILDREN,BECAUSE,THE,STONES,KILLED,SOME,OF,THEM.
https://mtutor.blob.core.windows.net/system-user-audio/20181215/67003b79b4914722909217e0dc1978e7.mp3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180730/7a490df4200a44a9a8d5c611ced5fcd4.mp3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190623/12dfc7a048c74e37a6809b88d1235333.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190626/1e6ee2cb148f4034bc326e9962a9862a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180509/aa218d208d73427fa6d2ccdb6cf11354.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180705/2c13600e69874a1f8deaff7d3a378764.mp3,2,3,3,3,3,3,3,3,2,2,2,3,2,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190315/fe2e831afa4349b29d8bc76808a73675.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180807/5e5a21f173694de483c7dd382a2bf2ca.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180503/39621b87f0e24dfeaeb41d73a9ac33e6.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190511/c1e5826b0cf44219918f503e99b43fcf.mp3,2,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190413/55126e06a02a4d30972218d36f39a7ad.mp3,2,3,3,3,3,2,3,3,2,2,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190319/f8e3de6eebe541a88d892d7756af0ed2.mp3,3,3,3,3,2,3,2,3,3,3,3,2,3,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190727/2684047244db4a04b89057fe2b73f732.mp3,2,3,2,3,3,2,3,3,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191023/fba1a375333849b6a50dd36f878412d2.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191029/21172346ce624c208feca22c471e46f9.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191029/364170438237462aa40ebd8a1fc0806e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190122/8e41e1cfecc242d281d5929c7e54ea27.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190406/5c3e0b3f5dd74e8fbd0aeab86ae5f695.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190302/a8ade958acc0472ab0a01e40773cbcc7.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180805/10a79cb49a3a4932b3aad2d84541822b.mp3,2,3,2,3,3,2,3,3,3,3,3,3,2,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180617/2d6f3ee4343b4870bb36006783ccb820.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180617/3ee426541cf1425ea1f81889a1a2f324.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180805/4e4362dae087423cb9a4e6da50a1cb90.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181107/403b5bb0c5c04d969dee489e4157f5c2.mp3,2,3,2,3,3,3,3,3,3,3,3,2,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180903/95954870ed9a487a93e475e15111f641.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180903/cf88ea8c8787448bae854cfe23041f39.mp3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190711/b5403ea4050c4864b7966e55a1664cc1.mp3,1,3,2,3,2,1,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190812/672f73e26383486589f559243555b331.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191108/a69d8b9572944a5ebbc45ced892b1d9d.mp3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,1,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190620/dadbe840bf5c4347ad1d110d3097bb05.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180627/4b400c22f25f4d25beea7a4338f19df3.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190727/d51dd63651ff4e66a7e00286dc8bd23b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180818/5f3e0a167b19459d861b63ae2e904381.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191110/47fbb9d1b6b743639d907b56a4d9f84a.mp3,2,3,2,3,3,3,3,3,3,1,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180924/50b46800ff36478bb3eaf110f03619de.mp3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190607/ea0300d1f062405caf3ead88647f90fb.mp3,无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191208/394f147e88f34cb1a5a9244407864b95.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190306/9fb84246ebe74e2a937a9fd2d1170604.mp3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180708/96f3ebf5fded43f190cefb7299d95d34.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180523/8e5811c6f7a04c4e857dbb6870c35e67.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20191204/f0759b8d66bd45aea369d0760d1987fb.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180719/f63eb9ccce89432ab26630d9e301f727.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180728/ecc5bab062194e6fb0f4d070af4a676f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190316/26bd0c3f982446d2a295f0aed952a7a6.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190807/72e71bbac27b417f9e39303e3c0c43f4.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190323/9d942d0ab6514edbb56b0f4892927023.mp3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190214/3a8cdd59bea6408d903fafaa9675a631.mp3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190411/d15209be01d646108046f78014270fc3.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190924/4f8584ed13c443f6b46fa66d8d17f9ef.mp3,1,2,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,2,/
https://mtutor.blob.core.windows.net/system-user-audio/20181122/839208f67c7246bdaa746b0168d71622.mp3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191225/14aed8bc3d9f4cb5a87d13e46dad3056.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181124/c4d21d9a0a9e449d97fc921d460f80de.mp3,1,3,2,3,3,2,3,3,3,3,3,3,1,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190321/7517d4886d54422c877bbdc8eed01713.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180710/14861b8bf333443e9bf51b47e0af6462.mp3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200101/2940a43078914eea9718021977ad8cf7.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200101/10ec71ffeb8f483295336d347d25b959.mp3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180906/0f66f1b51c4c478393207bb8daebf689.mp3,3,3,2,3,3,3,1,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190303/131dd85e0ce442aa934d46e9bcc2090d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181228/a31b2954564a442cb849646d39b839be.mp3,1,3,1,3,3,2,2,2,2,2,3,3,3,3,1,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181228/d7b58928383943b4bc91b5160517365b.mp3,无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180822/adf0f3dcc5bc4ef4a6c357a431d7d869.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181215/dfd33ff9d27940d9997931b4d84f9b0e.mp3,1,3,1,3,3,2,3,2,3,3,3,2,3,2,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190313/d494e83bcb8f46bca37a6331382a748c.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190512/da6956d4198e4a16b5aba5ba6e178e8f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190409/9b22d5b8a6fd43b0b51a9fbac9d46955.mp3,2,3,3,3,3,3,3,2,3,3,2,2,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180810/3a5be2b1341641c1913a4273367f60f8.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180915/81bcff7c632541bba6d5cd2116272f74.mp3,1,3,2,3,2,3,3,2,2,2,2,2,2,2,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180614/0eaeddf4a3af453cb584f6a3ad6c33e6.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190116/cd31768cb7174e76adc2f0548b003b3c.mp3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20190324/787783e0d5874a40a2723142b59e5a1d.mp3,2,3,2,2,2,3,3,3,3,3,2,3,3,3,2,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190530/0dcf2537e683419a845feec61babd1c1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180522/c01b158eaa7e47eaa0650f2d56dab683.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180511/eaf373df35d74b4db86ff5024350d520.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180514/b70354d0a45f4bc6b83c2f24d41e28d8.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20180511/a81e176d4fae43c9924caa6b5a9201cc.mp3,音频无效,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181217/227215adb3354860b6e451e14491fe17.mp3,1,3,1,3,3,1,3,3,3,3,3,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190217/23a848b1eb9a4dc6b2f5db2c334e913f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,/
https://mtutor.blob.core.windows.net/system-user-audio/20200108/1b1aa54943e4445d8a5201cbf9b91813.mp3,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,/
