audiourl,overall_evaluation(level: 1/2/3),UNTIL,THE,FOX,THOUGHT,HIGHLY,OF,THE,CROW'S,BEAUTIFUL,"VOICE,",THE,CROW,FELT,QUITE,PROUD,AND,FINALLY,OPENED,HIS,MOUTH,TO,SING.
https://mtutor.blob.core.windows.net/system-user-audio/20190324/be0c149847fd4979acb5cf65b53e6329.mp3,2,3,3,3,3,3,3,3,1,3,3,3,3,3,2,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190323/156b32f6c0234128ae8c395aaeba2ac2.mp3,1,3,3,3,1,2,3,3,3,1,3,3,3,1,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181020/1b638b45ee40405a89e39f76eee19f8e.mp3,2,3,3,3,3,1,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180915/b8995e2ea17d4e338425cd2af92ff8de.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20180724/5a8aaec986e9458d87baa7e8ab7f8a6f.mp3,无效,,,,,,,,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20190910/47c8096729bc413f9e728ac14651f05e.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191201/40b883790876429aba433cfdd07a7c5d.mp3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181031/ecb411ce215148d7ad163f44a8ac97dd.mp3,3,3,3,3,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181014/78b61729d2d94b7f8094a7272a5c1f36.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181030/6cf3fd46e06b4d9db003dc445dfe4f37.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
