audiourl,overall_evaluation(level: 1/2/3),THEY,MADE,A,CHOICE,AND,WENT,OUT,IN,SEARCH,OF,FOOD.
https://mtutor.blob.core.windows.net/system-user-audio/20190412/7be0170bf5ab40dfbe5422182ec374f2.mp3,2,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190221/665cd2d751074aa39b89348d43db2b24.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190221/57b972bb42c74432b84a4aeaa48d7dfa.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190702/190ffe963d474924b0e486c97aa0c2f5.mp3,2,3,3,3,3,2,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190301/47332df44a9d453f9b056216689ac327.mp3,2,/,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190215/2e9c4858f4b74e8dae2879bfaacd1341.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190413/a6cce1e6660141e5a3a865a9778c67be.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190830/ae71df7460744813b24210ed833c1872.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190221/665cd2d751074aa39b89348d43db2b24.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190221/57b972bb42c74432b84a4aeaa48d7dfa.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190702/190ffe963d474924b0e486c97aa0c2f5.mp3,2,3,3,3,3,2,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190301/47332df44a9d453f9b056216689ac327.mp3,2,/,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190215/2e9c4858f4b74e8dae2879bfaacd1341.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190413/a6cce1e6660141e5a3a865a9778c67be.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190830/ae71df7460744813b24210ed833c1872.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200111/2ca73c70cfd04828bb62f94f70227ee7.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200112/e0ef7df90b844d8c81e0a78f7e46fba9.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/b387e5857b324cc2b4eb7b0acbeeeb6b.mp3,2,3,3,3,3,3,3,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200111/2ca73c70cfd04828bb62f94f70227ee7.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200112/e0ef7df90b844d8c81e0a78f7e46fba9.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190310/b387e5857b324cc2b4eb7b0acbeeeb6b.mp3,2,3,3,3,3,3,3,2,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200106/86b2417ed54d40419636ee5145de86d4.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190803/2981addfe74b469bb936c1c808b99a2e.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/99e1294703794f4baf18bc8b528e9918.mp3,2,3,3,3,3,2,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190220/b054bc422d674a72928ec80efc0eb133.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20200106/86b2417ed54d40419636ee5145de86d4.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190803/2981addfe74b469bb936c1c808b99a2e.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190115/99e1294703794f4baf18bc8b528e9918.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190220/b054bc422d674a72928ec80efc0eb133.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190731/63c4d060a4d1493db19cb29982a4229e.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190415/830d9db38d1c454e99df60675a8069e9.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190228/b0b92cb3effe4db4b5afdda6a82bbc58.mp3,2,3,3,3,2,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190204/7eefdc88e78b42b09d6421295936aa1a.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190731/63c4d060a4d1493db19cb29982a4229e.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190415/830d9db38d1c454e99df60675a8069e9.mp3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190228/b0b92cb3effe4db4b5afdda6a82bbc58.mp3,2,3,3,3,2,3,3,3,3,2,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190204/7eefdc88e78b42b09d6421295936aa1a.mp3,2,3,3,3,3,3,3,2,3,3,3,/
