audiourl,overall_evaluation(level: 1/2/3),"""DAD!""",HE,"PUFFED,","""IS",IT,TRUE,THAT,AN,APPLE,A,DAY,KEEPS,THE,DOCTOR,"AWAY?"""
https://mtutor.blob.core.windows.net/system-user-audio/20181121/d7207d1ccf0b4afbaab56e876f0f2501.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181120/ad237817e18b410e97a06c23103bd36d.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181121/04758fbaa148431cbc8d8796f2f27007.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190202/b5c4d0fd4d34450783fe6a966de92b05.mp3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/78bbf99f63604f5a81bf2caa212d7f3f.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/a8cba16b870b4bddbcd733262302dd9e.mp3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/d727740a93274b1d8a970bc4f45f0e77.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/ef2d3cff39e24c9791b9e90e640a878b.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/0ee00af0c29b4018b28c5e4345d68ab1.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190930/c902f0c1d0534a9aba07fc56c0302d6e.mp3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190930/745dfdafd5c04803918c218aa06a4338.mp3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/f3e6896cdede48b6a8587a450074908f.mp3,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/39b9c52a795e49dfad87cd034813ae5a.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/d2f8bce90424470580bb89bf9f096621.mp3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/45aec08e4222408ba9b0b2fd9e693e35.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/e8fe904c2a0a462baa7c36b43f388238.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/2bfbfe8282ae4209b23a7ab350134349.mp3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20191001/dce83d1e667c4803bbf1c14f98076341.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181119/4cc93ddb2af4459aa0180a81222af870.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181119/dd322f0154ce4092a4227c9baa7d0e75.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181119/e06362807bbd45c798c922f2f64e0f5b.mp3,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20190303/bd298102e848476faad5f0b737611fec.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181025/fdb9305fe7ad435f8b6a1d9f12805c0a.mp3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181205/420e34689eb64b9fa93fbd1809c464d7.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
https://mtutor.blob.core.windows.net/system-user-audio/20181127/4f006e84a6dc4e1a8df5987867f94836.mp3,无效,,,,,,,,,,,,,,,/
https://mtutor.blob.core.windows.net/system-user-audio/20181220/82c13b0284f841dc8a916db7e69f96fe.mp3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,/
